rowid,brainfield,ENSEMBL,SYMBOL,GENENAME,MAP,ENTREZID,BIOSOURCE_POSITION,GENETYPE,LOCUS,DESCRIPTION,SUMMARY,gene_family
14785,ENSG00000174469,ENSG00000174469,CNTNAP2,contactin associated protein like 2,7q35-q36.1,26047,7,protein-coding,CNTNAP2,contactin associated protein like 2,"This gene encodes a member of the neurexin family which functions in the vertebrate nervous system as cell adhesion molecules and receptors. This protein, like other neurexin proteins, contains epidermal growth factor repeats and laminin G domains. In addition, it includes an F5/8 type C domain, discoidin/neuropilin- and fibrinogen-like domains, thrombospondin N-terminal-like domains and a putative PDZ binding site. This protein is localized at the juxtaparanodes of myelinated axons, and mediates interactions between neurons and glia during nervous system development and is also involved in localization of potassium channels within differentiating axons. This gene encompasses almost 1.5% of chromosome 7 and is one of the largest genes in the human genome. It is directly bound and regulated by forkhead box protein P2, a transcription factor related to speech and language development. This gene has been implicated in multiple neurodevelopmental disorders, including Gilles de la Tourette syndrome, schizophrenia, epilepsy, autism, ADHD and intellectual disability. [provided by RefSeq, Jul 2017]",Cell Adhesion
15047,ENSG00000152910,ENSG00000152910,CNTNAP4,contactin associated protein like 4,16q23.1,85445,16,protein-coding,CNTNAP4,contactin associated protein like 4,"This gene encodes a member of the neurexin protein family. Members of this family function in the vertebrate nervous system as cell adhesion molecules and receptors. This protein contains epidermal growth factor repeats and laminin G domains. In addition, it includes an F5/8 type C domain, discoidin/neuropilin- and fibrinogen-like domains, and thrombospondin N-terminal-like domains. This protein may also play a role in proper neurotransmission in the dopaminergic and GABAergic systems and mutations in this gene may be associated with certain psychiatric illnesses. A polymorphism in an intron of this gene may be associated with longevity. [provided by RefSeq, Apr 2016]",Cell Adhesion
14506,ENSG00000173406,ENSG00000173406,DAB1,"DAB1, reelin adaptor protein",1p32.2,1600,1,protein-coding,DAB1,DAB adaptor protein 1,"The laminar organization of multiple neuronal types in the cerebral cortex is required for normal cognitive function. In mice, the disabled-1 gene plays a central role in brain development, directing the migration of cortical neurons past previously formed neurons to reach their proper layer. This gene is similar to disabled-1, and the protein encoded by this gene is thought to be a signal transducer that interacts with protein kinase pathways to regulate neuronal positioning in the developing brain. [provided by RefSeq, Jan 2017]",Cell Adhesion
7414,ENSG00000259207,ENSG00000259207,ITGB3,integrin subunit beta 3,17q21.32,3690,17,protein-coding,ITGB3,integrin subunit beta 3,"The ITGB3 protein product is the integrin beta chain beta 3. Integrins are integral cell-surface proteins composed of an alpha chain and a beta chain. A given chain may combine with multiple partners resulting in different integrins. Integrin beta 3 is found along with the alpha IIb chain in platelets. Integrins are known to participate in cell adhesion as well as cell-surface mediated signalling. [provided by RefSeq, Jul 2008]",Cell Adhesion
13521,ENSG00000105695,ENSG00000105695,MAG,myelin associated glycoprotein,19q13.12,4099,19,protein-coding,MAG,myelin associated glycoprotein,"The protein encoded by this gene is a type I membrane protein and member of the immunoglobulin superfamily. It is thought to be involved in the process of myelination. It is a lectin that binds to sialylated glycoconjugates and mediates certain myelin-neuron cell-cell interactions. Three alternatively spliced transcripts encoding different isoforms have been described for this gene. [provided by RefSeq, Nov 2010]",Cell Adhesion
5262,ENSG00000149294,ENSG00000149294,NCAM1,neural cell adhesion molecule 1,11q23.2,4684,11,protein-coding,NCAM1,neural cell adhesion molecule 1,"This gene encodes a cell adhesion protein which is a member of the immunoglobulin superfamily. The encoded protein is involved in cell-to-cell interactions as well as cell-matrix interactions during development and differentiation. The encoded protein has been shown to be involved in development of the nervous system, and for cells involved in the expansion of T cells and dendritic cells which play an important role in immune surveillance. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2011]",Cell Adhesion
12810,ENSG00000021645,ENSG00000021645,NRXN3,neurexin 3,14q24.3-q31.1,9369,14,protein-coding,NRXN3,neurexin 3,"This gene encodes a member of a family of proteins that function in the nervous system as receptors and cell adhesion molecules. Extensive alternative splicing and the use of alternative promoters results in multiple transcript variants and protein isoforms for this gene, but the full-length nature of many of these variants has not been determined. Transcripts that initiate from an upstream promoter encode alpha isoforms, which contain epidermal growth factor-like (EGF-like) sequences and laminin G domains. Transcripts initiating from the downstream promoter encode beta isoforms, which lack EGF-like sequences. Genetic variation at this locus has been associated with a range of behavioral phenotypes, including alcohol dependence and autism spectrum disorder. [provided by RefSeq, Dec 2012]",Cell Adhesion
12993,ENSG00000182667,ENSG00000182667,NTM,neurotrimin,11q25,50863,11,protein-coding,NTM,neurotrimin,"This gene encodes a member of the IgLON (LAMP, OBCAM, Ntm) family of immunoglobulin (Ig) domain-containing glycosylphosphatidylinositol (GPI)-anchored cell adhesion molecules. The encoded protein may promote neurite outgrowth and adhesion via a homophilic mechanism. This gene is closely linked to a related family member, opioid binding protein/cell adhesion molecule-like (OPCML), on chromosome 11. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2009]",Cell Adhesion
14928,ENSG00000183715,ENSG00000183715,OPCML,opioid binding protein/cell adhesion molecule like,11q25,4978,11,protein-coding,OPCML,opioid binding protein/cell adhesion molecule like,"This gene encodes a member of the IgLON subfamily in the immunoglobulin protein superfamily of proteins. The encoded preprotein is proteolytically processed to generate the mature protein. This protein is localized in the plasma membrane and may have an accessory role in opioid receptor function. This gene has an ortholog in rat and bovine. The opioid binding-cell adhesion molecule encoded by the rat gene binds opioid alkaloids in the presence of acidic lipids, exhibits selectivity for mu ligands and acts as a GPI-anchored protein. Since the encoded protein is highly conserved in species during evolution, it may have a fundamental role in mammalian systems. Alternative splicing results in multiple transcript variants, at least one of which encodes an isoform that is proteolytically processed. [provided by RefSeq, Jan 2016]",Cell Adhesion
12497,ENSG00000138650,ENSG00000138650,PCDH10,protocadherin 10,4q28.3,57575,4,protein-coding,PCDH10,protocadherin 10,"This gene belongs to the protocadherin gene family, a subfamily of the cadherin superfamily. This family member contains 6 extracellular cadherin domains, a transmembrane domain and a cytoplasmic tail differing from those of the classical cadherins. The encoded protein is a cadherin-related neuronal receptor thought to function in the establishment of specific cell-cell connections in the brain. This gene plays a role in inhibiting cancer cell motility and cell migration. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2015]",Cell Adhesion
17940,ENSG00000102290,ENSG00000102290,PCDH11X,protocadherin 11 X-linked,Xq21.31,27328,X,protein-coding,PCDH11X,protocadherin 11 X-linked,"This gene belongs to the protocadherin gene family, a subfamily of the cadherin superfamily. The encoded protein consists of an extracellular domain containing 7 cadherin repeats, a transmembrane domain and a cytoplasmic tail that differs from those of the classical cadherins. The gene is located in a major X/Y block of homology and its Y homolog, despite divergence leading to coding region changes, is the most closely related cadherin family member. The protein is thought to play a fundamental role in cell-cell recognition essential for the segmental development and function of the central nervous system. Disruption of this gene may be associated with developmental dyslexia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2014]",Cell Adhesion
13015,ENSG00000184226,ENSG00000184226,PCDH9,protocadherin 9,13q21.32,5101,13,protein-coding,PCDH9,protocadherin 9,"This gene encodes a member of the protocadherin family, and cadherin superfamily, of transmembrane proteins containing cadherin domains. These proteins mediate cell adhesion in neural tissues in the presence of calcium. The encoded protein may be involved in signaling at neuronal synaptic junctions. Sharing a characteristic with other protocadherin genes, this gene has a notably large exon that encodes multiple cadherin domains and a transmembrane region. Alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Nov 2012]",Cell Adhesion
158,ENSG00000173372,ENSG00000173372,C1QA,complement C1q A chain,1p36.12,712,1,protein-coding,C1QA,complement C1q A chain,"This gene encodes the A-chain polypeptide of serum complement subcomponent C1q, which associates with C1r and C1s to yield the first component of the serum complement system. C1q deficiency is associated with lupus erythematosus and glomerulonephritis. C1q is composed of 18 polypeptide chains which include 6 A-chains, 6 B-chains, and 6 C-chains. Each chain contains an N-terminal collagen-like region and a C-terminal C1q globular domain. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Nov 2016]",Cell-Cell Signaling
14495,ENSG00000116544,ENSG00000116544,DLGAP3,DLG associated protein 3,1p34.3,58512,1,protein-coding,DLGAP3,DLG associated protein 3,NA,Cell-Cell Signaling
12509,ENSG00000175426,ENSG00000175426,PCSK1,proprotein convertase subtilisin/kexin type 1,5q15,5122,5,protein-coding,PCSK1,proprotein convertase subtilisin/kexin type 1,"This gene encodes a member of the subtilisin-like proprotein convertase family, which includes proteases that process protein and peptide precursors trafficking through regulated or constitutive branches of the secretory pathway. The encoded protein undergoes an initial autocatalytic processing event in the ER to generate a heterodimer which exits the ER and sorts to subcellular compartments where a second autocatalytic even takes place and the catalytic activity is acquired. The protease is packaged into and activated in dense core secretory granules and expressed in the neuroendocrine system and brain. This gene encodes one of the seven basic amino acid-specific members which cleave their substrates at single or paired basic residues. It functions in the proteolytic activation of polypeptide hormones and neuropeptides precursors. Mutations in this gene have been associated with susceptibility to obesity and proprotein convertase 1/3 deficiency. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene [provided by RefSeq, Jan 2014]",Cell-Cell Signaling
12053,ENSG00000128578,ENSG00000128578,STRIP2,striatin interacting protein 2,7q32.1,57464,7,protein-coding,STRIP2,striatin interacting protein 2,NA,Cell Migration
13157,ENSG00000198576,ENSG00000198576,ARC,activity regulated cytoskeleton associated protein,8q24.3,23237,8,protein-coding,ARC,activity regulated cytoskeleton associated protein,NA,Cytoskeletal Protein
15219,ENSG00000077279,ENSG00000077279,DCX,doublecortin,Xq23,1641,X,protein-coding,DCX,doublecortin,"This gene encodes a member of the doublecortin family. The protein encoded by this gene is a cytoplasmic protein and contains two doublecortin domains, which bind microtubules. In the developing cortex, cortical neurons must migrate over long distances to reach the site of their final differentiation. The encoded protein appears to direct neuronal migration by regulating the organization and stability of microtubules. In addition, the encoded protein interacts with LIS1, the regulatory gamma subunit of platelet activating factor acetylhydrolase, and this interaction is important to proper microtubule function in the developing cortex. Mutations in this gene cause abnormal migration of neurons during development and disrupt the layering of the cortex, leading to epilepsy, cognitive disability, subcortical band heterotopia (""double cortex"" syndrome) in females and lissencephaly (""smooth brain"" syndrome) in males. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2010]",Cytoskeletal Protein
2529,ENSG00000171617,ENSG00000171617,ENC1,ectodermal-neural cortex 1,5q13.3,8507,5,protein-coding,ENC1,ectodermal-neural cortex 1,"This gene encodes a member of the kelch-related family of actin-binding proteins. The encoded protein plays a role in the oxidative stress response as a regulator of the transcription factor Nrf2, and expression of this gene may play a role in malignant transformation. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Feb 2012]",Cytoskeletal Protein
15070,ENSG00000131095,ENSG00000131095,GFAP,glial fibrillary acidic protein,17q21.31,2670,17,protein-coding,GFAP,glial fibrillary acidic protein,"This gene encodes one of the major intermediate filament proteins of mature astrocytes. It is used as a marker to distinguish astrocytes from other glial cells during development. Mutations in this gene cause Alexander disease, a rare disorder of astrocytes in the central nervous system. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Oct 2008]",Cytoskeletal Protein
7176,ENSG00000166579,ENSG00000166579,NDEL1,nudE neurodevelopment protein 1 like 1,17p13.1,81565,17,protein-coding,NDEL1,nudE neurodevelopment protein 1 like 1,"This gene encodes a coiled-coil protein that plays a role in multiple processes including cytoskeletal organization, cell signaling and neuron migration, outgrowth and maintenance. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene, and a pseudogene of this gene is located on the long arm of chromosome X. [provided by RefSeq, Mar 2012]",Cytoskeletal Protein
13569,ENSG00000100285,ENSG00000100285,NEFH,neurofilament heavy,22q12.2,4744,22,protein-coding,NEFH,neurofilament heavy,"Neurofilaments are type IV intermediate filament heteropolymers composed of light, medium, and heavy chains. Neurofilaments comprise the axoskeleton and functionally maintain neuronal caliber. They may also play a role in intracellular transport to axons and dendrites. This gene encodes the heavy neurofilament protein. This protein is commonly used as a biomarker of neuronal damage and susceptibility to amyotrophic lateral sclerosis (ALS) has been associated with mutations in this gene. [provided by RefSeq, Oct 2008]",Cytoskeletal Protein
